timestamp,auction_id,base_cpm,winning_bid,audience_segment,ad_category,device_type,hour_of_day,day_of_week,ad_position,ad_size,user_location,user_age,user_gender,value_per_conversion,true_ctr,true_cvr,clicked,converted
2025-06-07 23:07:11.166524,AUCTION_042141,10.588586697695657,0.8563725174612885,gaming_community,electronics,desktop,13,4,top,160x600,EG,29,F,45.0,0.20928178700084657,0.3763750957435284,0,0
2025-06-01 08:13:29.738178,AUCTION_045080,25.081292413578232,0.7577631934639866,food_lovers,travel,mobile,18,4,content,300x250,BA,38,M,90.0,0.04015289134919925,0.23426567826750613,0,0
2025-05-30 05:53:25.650997,AUCTION_016638,14.327905653559016,0.3629736578786202,students,travel,mobile,0,0,top,300x250,GW,38,F,90.0,0.11467625730268939,0.4338558427662281,0,0
2025-05-17 13:14:23.347675,AUCTION_020424,19.206083604401368,1.3705867300381858,parents,electronics,mobile,19,1,top,300x250,CD,27,F,45.0,0.08823171516225627,0.16951531152881696,0,0
2025-06-07 05:48:56.657592,AUCTION_088702,6.197024997681136,0.49341813383033645,business_professionals,family,mobile,14,6,bottom,728x90,BN,22,M,20.0,0.02586146903264112,0.060813109584382206,0,0
2025-05-20 08:26:08.627052,AUCTION_000149,10.39367188549839,1.2978271700932738,tech_enthusiasts,electronics,desktop,16,6,content,160x600,KP,43,F,45.0,0.20049923601601355,0.5412501945576301,1,0
2025-05-31 19:11:08.099597,AUCTION_001761,11.398597541613166,1.9918359629618945,travel_enthusiasts,food,mobile,14,1,bottom,728x90,MZ,26,M,15.0,0.04428733969776569,0.04990765294994651,0,0
2025-05-26 23:43:44.540869,AUCTION_063120,13.009438652915406,1.3506283935900278,sports_fans,fashion,desktop,22,5,top,728x90,BT,32,F,30.0,0.08646316503947178,0.348157270934871,0,0
2025-06-08 00:16:32.271349,AUCTION_069161,12.731970131743735,0.44290623495544135,sports_fans,fashion,mobile,20,6,top,300x250,IQ,37,O,30.0,0.08267127777621393,0.16863489747379629,1,0
2025-06-03 03:54:35.162648,AUCTION_064883,11.212681674811238,0.6473172090174599,students,food,tablet,2,0,content,160x600,CO,52,M,15.0,0.037981093396611924,0.13757621533989778,0,0
2025-05-14 19:21:34.133047,AUCTION_002495,7.0780102114684045,0.4287226515970565,fashion_shoppers,business,mobile,5,6,content,300x250,VA,49,F,70.0,0.028622861428127762,0.2194735879727461,0,0
2025-05-14 07:07:36.283085,AUCTION_080296,7.0703470652181615,0.6243874141144791,students,fashion,mobile,4,1,sidebar,728x90,DO,32,F,30.0,0.03237705294315657,0.13556950306345103,0,0
2025-06-08 07:17:01.474828,AUCTION_019447,13.888164024197305,0.2148524098047453,travel_enthusiasts,sports,desktop,19,5,content,728x90,IN,28,F,25.0,0.07760970958017033,0.17532330735371557,0,0
2025-05-14 20:05:29.974799,AUCTION_041331,18.387129765934915,0.8474471773667176,parents,business,desktop,21,5,content,160x600,LK,32,F,70.0,0.0516606977141519,0.5088129772862983,0,0
2025-06-06 03:17:21.631933,AUCTION_014888,8.411064439351206,0.6990511184778716,students,education,mobile,0,1,bottom,300x250,AG,39,M,50.0,0.19666521105462614,0.20347697667584158,0,0
2025-05-28 13:15:14.034781,AUCTION_088636,6.464660059050585,1.806716262111183,parents,gaming,mobile,19,0,content,300x250,TD,45,M,35.0,0.07534192460315108,0.1694844312650504,0,0
2025-05-13 05:04:23.659892,AUCTION_094892,12.549068304220173,0.3871857357420255,fashion_shoppers,food,mobile,19,3,content,300x250,CO,42,F,15.0,0.05514552025358977,0.09405641782591768,0,0
2025-05-12 19:26:46.236488,AUCTION_092731,9.18266414926281,0.4724918923048528,food_lovers,fashion,mobile,21,5,top,300x250,GW,40,M,30.0,0.10960654500083895,0.1437225284148368,0,0
2025-06-06 03:33:20.409743,AUCTION_029130,18.24179337327139,0.9135058278441769,tech_enthusiasts,electronics,mobile,20,0,sidebar,320x50,CO,50,F,45.0,0.15823820735521413,0.1999527701617819,0,0
2025-06-08 15:17:19.505262,AUCTION_079022,18.324848764701127,0.29442671582222923,parents,gaming,tablet,23,1,sidebar,728x90,ZA,42,F,35.0,0.026873819288452425,0.18119200370608232,0,0
2025-05-31 11:46:41.379577,AUCTION_084936,8.875541213764178,0.3071225852517041,fashion_shoppers,gaming,mobile,0,2,content,300x250,FI,51,F,35.0,0.051935828106522815,0.16183840817578357,0,0
2025-05-25 10:39:31.081338,AUCTION_016821,17.244951330754695,1.2283074402737402,students,gaming,mobile,11,3,content,300x250,TD,30,F,35.0,0.1680732625747612,0.15681033776773043,0,0
2025-05-23 14:44:10.909091,AUCTION_036733,6.88205785723998,0.3253665455198337,gaming_community,family,mobile,9,6,top,300x250,SG,37,F,20.0,0.08264324991914955,0.07927225798082407,0,0
2025-05-31 02:14:40.726884,AUCTION_015602,11.812377316219399,0.35299831964376394,business_professionals,electronics,mobile,2,1,sidebar,728x90,BA,39,M,45.0,0.024557109135773178,0.2744307551401817,0,0
2025-05-24 02:15:53.032683,AUCTION_028533,17.981386896137,0.3540035174515221,parents,business,desktop,7,0,top,728x90,SG,23,F,70.0,0.07293391817737697,0.462947280059977,0,0
2025-05-21 21:56:20.805779,AUCTION_069769,10.320281116833938,0.5691966325906362,students,family,mobile,23,2,bottom,728x90,VC,35,F,20.0,0.04714087234260498,0.061649963609931184,0,0
2025-05-30 12:34:52.303099,AUCTION_011405,12.459715008498764,1.0228279439656136,tech_enthusiasts,education,desktop,15,4,sidebar,300x250,DE,27,F,50.0,0.04388467515278305,0.4212771824532316,0,0
2025-05-30 20:25:05.398999,AUCTION_096852,5.449069101599467,1.5124586577070118,students,family,mobile,0,4,sidebar,728x90,SL,35,F,20.0,0.0454105130056334,0.05766129665218735,0,0
2025-06-08 07:09:16.259232,AUCTION_016130,18.146959017819395,1.4282149449642618,travel_enthusiasts,food,mobile,13,3,sidebar,320x50,ES,27,M,15.0,0.07730211361664054,0.0462122050032342,0,0
2025-05-27 13:04:11.797138,AUCTION_019792,10.322238105235634,0.9820729094870815,food_lovers,gaming,mobile,11,2,bottom,728x90,CZ,43,M,35.0,0.02899605766978892,0.16898759564685326,0,0
2025-06-08 11:45:53.161932,AUCTION_089577,6.888596018577958,0.531243582183797,business_professionals,business,desktop,1,2,content,728x90,BI,44,M,70.0,0.34833320824274916,0.7434770297071241,1,1
2025-06-04 03:53:42.743905,AUCTION_040163,5.445527668220221,1.114306667234057,business_professionals,food,mobile,23,0,content,160x600,MM,22,F,15.0,0.03851764260775014,0.05642883603446334,0,0
2025-05-28 02:07:24.516192,AUCTION_031776,27.027321229888,0.770631131938681,students,sports,mobile,18,3,top,300x250,NA,38,M,25.0,0.14974168796606246,0.11804200427484997,1,0
2025-05-15 10:08:32.262486,AUCTION_025330,9.861885142089392,0.39892710975925294,students,business,mobile,9,0,sidebar,300x250,NE,43,F,70.0,0.02679030383808481,0.36776329943716257,0,0
2025-05-12 15:49:13.149740,AUCTION_079156,6.237482821078886,1.0702063755953442,business_professionals,family,mobile,23,3,content,320x50,EC,34,F,20.0,0.05253191067386576,0.07650419092030519,0,0
2025-06-02 07:20:54.877523,AUCTION_051685,15.27869537946907,0.8349690474298412,parents,food,desktop,4,0,top,300x250,CH,30,F,15.0,0.11888887207901204,0.16314331588893358,0,0
2025-06-08 11:57:48.704696,AUCTION_075498,11.323362746543491,0.42985112090029365,business_professionals,electronics,mobile,22,2,sidebar,300x250,AZ,23,M,45.0,0.04226513562977184,0.1746356152860977,0,0
2025-05-29 12:56:04.700407,AUCTION_004727,18.741622103466124,0.6476698825402495,parents,business,mobile,13,5,content,160x600,NE,31,F,70.0,0.061801660517937757,0.2227829053972158,0,0
2025-05-12 10:25:19.325714,AUCTION_085198,7.331263127555753,0.27212039729454623,food_lovers,education,mobile,4,5,bottom,160x600,KH,30,M,50.0,0.016466634411846728,0.17124516364158499,0,0
2025-06-09 20:19:13.261252,AUCTION_035795,10.832121302992062,0.7039963298311885,fashion_shoppers,business,mobile,19,6,bottom,728x90,ZM,31,M,70.0,0.04953602670141708,0.21571101876200433,0,0
2025-06-08 17:46:57.310258,AUCTION_012256,10.556405473270683,0.36762856979254754,gaming_community,sports,desktop,14,2,top,728x90,TN,34,M,25.0,0.04980881909835658,0.27479552113617284,0,0
2025-05-23 14:05:49.489353,AUCTION_035718,12.48198559136758,0.8154540025324041,parents,gaming,mobile,0,6,content,728x90,VC,22,M,35.0,0.07811416111657253,0.08753525037722647,0,0
2025-05-13 18:57:45.341736,AUCTION_070551,18.219946460681335,0.21785707927367032,travel_enthusiasts,sports,mobile,7,0,content,300x250,GM,45,M,25.0,0.02449535668742867,0.14587418516571016,0,0
2025-05-24 16:18:37.292243,AUCTION_054374,14.62572629321319,0.9890259674478024,gaming_community,business,mobile,17,2,content,300x250,CZ,57,F,70.0,0.07662812472930089,0.33575690529365193,0,0
2025-05-24 12:29:28.430293,AUCTION_039691,17.1205047936044,0.5175433184379277,travel_enthusiasts,fashion,desktop,15,2,top,300x250,JO,46,M,30.0,0.0692260435099083,0.4345354694340702,1,0
2025-05-17 15:40:55.371928,AUCTION_093702,10.162725978534764,0.7253880060084292,fashion_shoppers,education,mobile,1,2,top,160x600,BZ,48,M,50.0,0.05211965375206051,0.32869473540550986,0,0
2025-05-18 07:51:59.407471,AUCTION_073691,19.193742760933155,0.6311969695099765,tech_enthusiasts,sports,tablet,14,6,sidebar,300x250,BR,32,F,25.0,0.04470780215666327,0.15579424142049483,0,0
2025-05-28 21:06:52.721796,AUCTION_098070,10.46762631687772,0.3016846862311765,business_professionals,fashion,desktop,18,2,content,300x250,OM,44,F,30.0,0.03988160837087628,0.4634005607339307,0,0
2025-06-04 05:54:12.375147,AUCTION_000575,8.996406757088003,0.35386197918308365,travel_enthusiasts,fashion,mobile,17,3,bottom,320x50,NP,41,F,30.0,0.017842718697385164,0.1481847036405918,0,0
2025-05-17 01:47:11.857338,AUCTION_084610,8.949089336904194,0.626787096898705,food_lovers,business,desktop,19,3,bottom,160x600,MX,18,F,70.0,0.02349319960072875,0.45316217300082706,0,0
2025-05-28 16:47:59.545264,AUCTION_061769,8.311342909987975,0.9535004752050932,business_professionals,business,mobile,8,5,bottom,728x90,ES,34,F,70.0,0.09866625836492061,0.2824068260455941,0,0
2025-06-02 04:16:11.940948,AUCTION_032260,45.50388773438334,0.6059299444306065,food_lovers,business,mobile,19,6,top,320x50,SB,31,F,70.0,0.056178166872770226,0.20683663824959478,0,0
2025-05-13 14:58:14.064197,AUCTION_082199,19.712436760639942,0.6328310404131943,students,business,desktop,8,1,content,320x50,BH,18,M,70.0,0.03261702825204231,0.36861300713508566,0,0
2025-05-22 19:52:55.405799,AUCTION_036290,16.696886481473722,0.7825458338139464,sports_fans,business,tablet,3,2,top,300x250,FM,36,F,70.0,0.06353976937761588,0.3937995461132895,0,0
2025-05-30 07:46:30.660926,AUCTION_078449,19.495737232506382,0.5042052403679709,sports_fans,sports,mobile,19,6,top,320x50,CM,47,F,25.0,0.26551486154111115,0.15215332384863384,0,0
2025-05-21 08:09:20.830465,AUCTION_060055,11.894958524490153,1.8037427511259485,business_professionals,business,tablet,13,1,bottom,728x90,LB,45,F,70.0,0.11299078874129409,0.5603912188589549,0,0
2025-05-12 09:23:53.387159,AUCTION_045948,4.685908074094494,0.29318602422528645,sports_fans,family,mobile,1,6,content,728x90,CA,37,F,20.0,0.04175517551891471,0.12982583417572632,0,0
2025-05-30 11:10:56.110663,AUCTION_028177,10.277693032672767,1.1355668865572972,food_lovers,food,mobile,6,2,content,300x250,GD,27,F,15.0,0.2856856848597881,0.0836231082592365,0,0
2025-06-05 11:51:23.378873,AUCTION_084463,13.546120291645302,1.0109370736794914,gaming_community,gaming,desktop,15,3,content,728x90,BD,40,F,35.0,0.5253680010933289,0.45989093240633755,0,0
2025-05-24 01:36:49.085866,AUCTION_000578,12.054139587745222,1.0556420305203909,gaming_community,business,mobile,16,4,top,160x600,MM,42,M,70.0,0.03990467795881975,0.321254765183114,0,0
2025-06-07 08:06:42.971611,AUCTION_030959,34.67571334219783,0.3727726436621267,sports_fans,family,desktop,16,3,content,728x90,AT,28,M,20.0,0.03313297722411304,0.3377882818383552,0,0
2025-05-27 00:45:27.604500,AUCTION_064290,6.018857007801819,0.7287564521687679,tech_enthusiasts,fashion,desktop,18,2,content,728x90,MT,29,M,30.0,0.0781812864185088,0.30343784855521233,0,0
2025-05-17 11:13:23.022443,AUCTION_014531,16.73273031961396,0.9309410327061686,tech_enthusiasts,gaming,mobile,10,5,top,320x50,GW,28,F,35.0,0.09815205284672608,0.08738137682796955,0,0
2025-05-12 06:53:44.624024,AUCTION_017933,13.720018841026683,1.3459563181129839,food_lovers,food,mobile,9,5,content,300x250,SO,33,F,15.0,0.1279666757972201,0.06734856473708535,0,0
2025-06-01 08:21:18.766302,AUCTION_033608,13.287314372626165,0.7121091843312877,parents,travel,tablet,12,4,content,320x50,SC,53,O,90.0,0.023068756885036568,0.47874742672553267,0,0
2025-06-09 20:46:14.710756,AUCTION_049959,7.234251714923785,0.33887409745047875,parents,electronics,desktop,15,2,top,300x250,TJ,26,F,45.0,0.06623511437788765,0.23808321145283462,0,0
2025-06-04 09:09:56.021295,AUCTION_066598,28.576765335578234,0.6901657934742933,food_lovers,business,mobile,3,0,bottom,300x250,TJ,26,M,70.0,0.03741166278771689,0.25836746897924284,0,0
2025-06-01 18:06:38.670172,AUCTION_099089,10.041849410531675,0.5456050140946198,business_professionals,electronics,tablet,14,4,bottom,300x250,MN,47,M,45.0,0.018161808893885995,0.3363465096232092,0,0
2025-05-18 11:37:55.458020,AUCTION_034451,8.795645740347737,1.5115731141524023,sports_fans,food,desktop,1,1,bottom,728x90,LR,34,M,15.0,0.06023991182876494,0.1984674342089437,0,0
2025-05-24 06:21:17.282442,AUCTION_034080,7.3948352663574015,0.7441255655862821,travel_enthusiasts,electronics,desktop,10,0,bottom,300x250,BJ,18,F,45.0,0.029867326706049756,0.341996520697533,0,0
2025-06-07 19:30:34.665341,AUCTION_063587,21.649067337258344,0.7328450515243184,travel_enthusiasts,business,mobile,21,3,top,320x50,IN,28,F,70.0,0.05773843846804636,0.25817748284156516,0,0
2025-06-05 21:13:14.405613,AUCTION_004293,6.704384387317311,0.5562499474682984,tech_enthusiasts,fashion,mobile,22,2,top,300x250,CF,24,F,30.0,0.12269546366386412,0.08417878398119982,0,0
2025-05-30 00:20:33.372662,AUCTION_069102,8.424964629144236,0.6280187555680123,business_professionals,electronics,mobile,18,2,content,160x600,WS,47,M,45.0,0.05209606762662625,0.16691951081106277,0,0
2025-05-15 06:06:08.517137,AUCTION_086411,40.283368700743715,0.6931851440835115,gaming_community,gaming,desktop,4,2,content,320x50,GM,37,F,35.0,0.18752702904395216,0.37069739168211785,0,0
2025-05-25 18:28:45.233447,AUCTION_099476,18.8458374496275,0.43470975857738,travel_enthusiasts,education,mobile,8,0,content,320x50,PS,34,F,50.0,0.028936232786505617,0.11083120692223739,0,0
2025-05-21 18:25:00.418541,AUCTION_053929,7.231196529983132,0.6117701105632408,business_professionals,business,mobile,21,2,sidebar,160x600,ET,22,M,70.0,0.17187880318011522,0.2537995129741039,1,0
2025-06-01 23:00:22.058182,AUCTION_087070,11.980839614435343,0.3485925753638308,travel_enthusiasts,education,tablet,20,2,bottom,728x90,DO,28,F,50.0,0.022344690574141905,0.2674184054128784,0,0
2025-05-26 20:04:41.492161,AUCTION_065083,14.660582145896106,0.8166088257158414,tech_enthusiasts,education,desktop,6,6,sidebar,300x250,SA,49,O,50.0,0.018563286788828737,0.6312539586368402,0,0
2025-05-24 15:38:58.080631,AUCTION_030712,8.30862331505378,0.597950836234352,gaming_community,sports,mobile,22,4,bottom,728x90,MV,29,M,25.0,0.0606661361811946,0.09040670391484978,0,0
2025-05-18 09:40:12.667361,AUCTION_049182,5.530279168541249,0.3729238984539866,sports_fans,family,mobile,19,2,top,300x250,SL,33,F,20.0,0.0908518072762395,0.08708439880118131,0,0
2025-05-20 16:45:53.821864,AUCTION_057234,10.632111800034014,0.30930878217270785,travel_enthusiasts,food,mobile,0,4,top,300x250,ZM,43,F,15.0,0.15175731002655513,0.06884910509661052,0,0
2025-06-01 18:01:17.176484,AUCTION_015663,6.518322517589796,1.0482660590443107,students,fashion,desktop,11,6,top,160x600,TG,32,M,30.0,0.053158850707390716,0.30032526054732245,0,0
2025-05-29 05:18:52.753234,AUCTION_019966,6.344854257077226,0.7383401335836377,travel_enthusiasts,gaming,mobile,13,3,bottom,320x50,UA,53,O,35.0,0.010674732387709534,0.17574352696687184,0,0
2025-05-23 05:03:28.842601,AUCTION_091912,16.09729895472979,0.5861324611580745,travel_enthusiasts,gaming,mobile,13,3,content,728x90,TG,36,F,35.0,0.037760160079885315,0.1218059426484838,0,0
2025-05-11 18:34:38.638613,AUCTION_091957,6.37704588338806,0.7442063153561773,parents,family,mobile,11,4,top,728x90,VE,39,F,20.0,0.42825580100828164,0.1557133140794079,1,0
2025-05-19 05:43:19.158381,AUCTION_081346,26.464880688270767,0.4348924267865831,tech_enthusiasts,gaming,desktop,14,3,content,728x90,BY,44,M,35.0,0.11414021562294038,0.45952303530099986,1,0
2025-06-06 23:30:28.362524,AUCTION_055325,12.879707598499941,0.3172077564208025,gaming_community,food,mobile,8,1,content,300x250,IR,39,O,15.0,0.0648053799859051,0.07513473547734721,0,0
2025-05-24 11:15:19.462310,AUCTION_029857,10.284573364663423,0.5600567550464424,food_lovers,education,desktop,7,4,top,320x50,HU,46,M,50.0,0.030930159277852462,0.5165618419194276,0,0
2025-05-15 02:47:24.639399,AUCTION_071222,5.522450654757547,1.1306774297184319,parents,gaming,desktop,14,1,content,300x250,MC,27,M,35.0,0.08774696510643824,0.2240087172359379,0,0
2025-05-12 09:41:40.344816,AUCTION_052458,10.360036067198523,0.9565964347683547,tech_enthusiasts,business,mobile,16,4,bottom,300x250,CL,45,F,70.0,0.018017929124086545,0.2200649849490668,0,0
2025-05-22 13:03:15.663618,AUCTION_088345,16.912632474833938,0.5330290358279592,parents,food,desktop,16,1,bottom,160x600,TH,38,M,15.0,0.0645605748006266,0.2503295089808442,0,0
2025-05-12 21:01:07.745000,AUCTION_082363,8.757479358281653,1.9711168879060146,tech_enthusiasts,electronics,mobile,14,0,top,300x250,GD,37,F,45.0,0.3514953716171168,0.19798264001199337,1,0
2025-05-19 14:15:40.957641,AUCTION_065349,18.292567097385824,0.4720780046170226,fashion_shoppers,gaming,mobile,14,2,content,728x90,NE,31,F,35.0,0.05113132966300633,0.10541840447580207,0,0
2025-05-28 14:26:49.676241,AUCTION_059649,21.93501442565538,0.09386288982075659,business_professionals,electronics,mobile,14,1,content,728x90,IL,57,M,45.0,0.05275561985285657,0.32652433657616203,0,0
2025-05-16 08:15:31.350550,AUCTION_044952,11.732909921065554,0.9904363191307244,parents,electronics,tablet,16,5,content,728x90,PE,45,F,45.0,0.05106232273487852,0.2883846347858638,0,0
2025-06-04 23:21:06.177639,AUCTION_039525,6.5908305106244525,0.5816063500991809,business_professionals,fashion,mobile,4,0,sidebar,728x90,TN,32,F,30.0,0.04727208728779022,0.07494953504659438,0,0
2025-05-13 21:12:23.532088,AUCTION_013935,8.809040357075693,0.620169908012656,fashion_shoppers,travel,mobile,1,0,bottom,300x250,BA,32,M,90.0,0.057104352790808534,0.3355105037247073,0,0
2025-05-22 10:46:01.498717,AUCTION_093780,12.48073073064287,0.6848479318054788,food_lovers,electronics,mobile,23,2,top,160x600,SC,36,M,45.0,0.0528073950484475,0.22865011016891942,0,0
2025-06-06 06:12:36.852383,AUCTION_089884,6.7209214463010944,1.4289979894149811,business_professionals,sports,tablet,4,2,top,300x250,CZ,24,F,25.0,0.04424459925882658,0.14223228309132593,0,0
2025-06-05 10:21:56.649075,AUCTION_081143,10.477476990620131,1.20330764179628,gaming_community,education,tablet,13,6,content,728x90,ZA,32,M,50.0,0.03829776089267206,0.2626210210755122,0,0
2025-06-07 23:06:10.117008,AUCTION_095799,7.803508100642592,0.29613167099558335,sports_fans,fashion,mobile,8,1,content,300x250,TL,18,F,30.0,0.03374044466565469,0.11599469015516459,0,0
2025-05-13 04:52:27.235438,AUCTION_089404,14.318227630946591,0.7600699322607011,fashion_shoppers,education,mobile,10,3,sidebar,300x250,IS,31,F,50.0,0.022427417864172922,0.1553149457593129,0,0
2025-06-06 16:52:18.715387,AUCTION_055223,24.5548798587035,1.1040415697842838,fashion_shoppers,electronics,mobile,20,3,content,300x250,OM,49,M,45.0,0.08904080553074639,0.3208251549477775,0,0
2025-06-08 10:42:52.610631,AUCTION_073645,25.42722153707592,1.6831991390472985,food_lovers,business,mobile,10,0,top,728x90,MA,40,F,70.0,0.03267638958487703,0.35095335878917516,0,0
2025-05-18 11:42:22.454489,AUCTION_066293,8.22875438017694,1.4024509432398997,travel_enthusiasts,electronics,mobile,13,2,sidebar,160x600,ML,48,M,45.0,0.014058613643103752,0.15792417302450418,0,0
2025-05-13 10:35:39.926214,AUCTION_065539,13.195578290906228,0.7936846631583276,sports_fans,sports,desktop,2,1,top,160x600,ME,38,F,25.0,0.23581244254376849,0.3907585549223626,0,0
2025-05-29 10:40:17.804201,AUCTION_028110,10.327017941312565,0.6342561703147732,fashion_shoppers,family,mobile,12,5,top,160x600,BZ,48,F,20.0,0.03187089321018655,0.09031285266001418,0,0
2025-05-19 01:37:10.126585,AUCTION_041928,7.861379264720683,0.7089425399824012,tech_enthusiasts,gaming,mobile,11,1,bottom,728x90,RU,39,F,35.0,0.061435167143227665,0.1347109475193347,0,0
2025-06-08 12:20:09.781211,AUCTION_086546,8.65291688284158,0.8751028412031494,sports_fans,gaming,mobile,13,2,content,728x90,CN,27,M,35.0,0.05754946430733267,0.12175351202118122,0,0
2025-06-06 12:35:42.894638,AUCTION_082585,15.557232919538823,0.8355083082526396,tech_enthusiasts,fashion,mobile,21,0,top,728x90,PT,29,M,30.0,0.07155350518565431,0.13610636771853382,0,0
2025-05-16 08:03:07.120945,AUCTION_038603,11.156549417162454,0.6159997635565065,gaming_community,travel,desktop,2,6,content,300x250,TJ,28,F,90.0,0.05268659065171273,0.3997722656403961,0,0
2025-05-29 07:42:05.888856,AUCTION_091657,15.179816313285155,0.6712231560945123,parents,fashion,desktop,13,2,sidebar,728x90,IQ,40,M,30.0,0.021867427108750632,0.3401949664740068,0,0
2025-05-16 00:08:25.869919,AUCTION_062786,14.453586249048398,0.6029217978178253,sports_fans,business,desktop,8,2,bottom,160x600,PT,39,F,70.0,0.012700138832618372,0.5522270655456654,0,0
2025-05-23 01:29:29.507282,AUCTION_084340,7.210081289734549,0.7709873155309594,tech_enthusiasts,sports,mobile,15,6,bottom,300x250,AT,40,M,25.0,0.018105405782185405,0.09894179900826919,0,0
2025-05-31 02:38:02.909712,AUCTION_039874,17.133737633183067,0.613533922155265,travel_enthusiasts,business,desktop,14,0,top,300x250,LA,41,F,70.0,0.034338730012508534,0.47201191982684004,0,0
2025-06-08 10:11:41.823987,AUCTION_078468,12.827146038675306,1.571490011596347,sports_fans,electronics,desktop,19,1,sidebar,160x600,MM,22,F,45.0,0.03914150939553202,0.42899692266487155,0,0
2025-05-20 21:11:07.104838,AUCTION_031631,8.96522611265177,0.9284381322088182,students,business,desktop,14,0,content,300x250,DM,40,O,70.0,0.06471807304648836,0.5820821031521165,0,0
2025-06-04 05:48:37.592775,AUCTION_014952,17.998501404440894,0.7135736920724728,tech_enthusiasts,business,mobile,19,0,content,300x250,UZ,18,M,70.0,0.07868490820990218,0.20040215405871922,1,0
2025-06-09 13:20:27.605804,AUCTION_039331,9.863667874005383,0.6258639726983282,sports_fans,food,mobile,18,0,bottom,300x250,LT,43,O,15.0,0.0664621746990109,0.08150541776408468,0,0
2025-06-04 23:02:12.296099,AUCTION_048587,18.826764591320764,1.0536545155798291,sports_fans,business,desktop,22,3,top,728x90,PE,34,M,70.0,0.10433287928994728,0.4685457829000273,0,0
2025-06-03 01:44:15.245149,AUCTION_083594,7.451336609212767,1.6095523124955697,students,gaming,desktop,1,3,top,300x250,MY,18,O,35.0,0.4094334518661482,0.2280641027475349,0,0
2025-05-20 20:28:25.784973,AUCTION_041487,9.985035972311655,1.4448026034547652,fashion_shoppers,gaming,mobile,17,1,content,160x600,PL,19,M,35.0,0.11469021616021988,0.06811573581480608,0,0
2025-06-05 03:42:36.467144,AUCTION_039627,16.763761639333232,0.658462504823411,tech_enthusiasts,food,desktop,6,0,content,160x600,ID,31,F,15.0,0.045230320521940634,0.16978390970926135,0,0
2025-06-08 03:53:56.419976,AUCTION_087894,15.211772132088862,0.5144303880629515,fashion_shoppers,electronics,mobile,12,5,content,728x90,ET,34,F,45.0,0.02428869314304371,0.1011524420632516,0,0
2025-06-08 12:51:41.527158,AUCTION_026303,12.889778945200316,0.2702499481893729,students,travel,tablet,9,5,bottom,728x90,BE,21,M,90.0,0.018402802818621156,0.2151591551264504,0,0
2025-06-01 11:52:03.545202,AUCTION_067403,17.06073630439673,0.8730308449673645,gaming_community,sports,mobile,7,2,top,300x250,CR,41,M,25.0,0.05044312035893335,0.11326758148336728,0,0
2025-05-12 13:01:30.000808,AUCTION_098084,20.174376589660636,0.4861006562458604,sports_fans,business,desktop,21,0,sidebar,160x600,GQ,53,M,70.0,0.03808594833143707,0.6917849151508955,0,0
2025-05-14 22:34:11.353868,AUCTION_095601,12.482181368049027,0.5710200064798456,fashion_shoppers,business,mobile,22,2,content,728x90,AE,35,M,70.0,0.05014498986904475,0.19078091321191862,0,0
